"";"ptt.dèj";"goûter";"soirée";"après.déjeuner";"après.dîner";"tt.moment";"maison";"travail";"salon.de.t";"amis";"resto";"bar";"variété";"comment";"sucre";"forme";"lieuachat";"type";"sexe";"CSP";"Sport";"âge";"âge_Q";"fréquence";"évasion.exotisme";"spiritualité";"bon.pr.la.santé";"diurétique";"convivialité";"absorption.fer";"féminin";"raffiné";"amaigrissant";"excitant";"relaxant";"ss.effet.santé"
"49";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet+vrac";"GMS";"t_MDD";"F";"employé";"Pas.sportif";34;"25-34";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"ss effet santé"
"50";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"salon de t";"amis";"resto";"Pas.bar";"noir";"pur";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_haut_de_gamme";"F";"étudiant";"sportif";23;"15-24";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"51";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"bar";"parfumé";"pur";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"F";"employé";"sportif";21;"15-24";"1/jour";"évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"52";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"salon de t";"amis";"Pas.resto";"Pas.bar";"noir";"pur";"sucré";"sachet+vrac";"GMS";"t_haut_de_gamme";"F";"employé";"sportif";37;"35-44";"1 à 2/sem";"Pas.évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"ss effet santé"
"53";"Pas.ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"bar";"parfumé";"pur";"Pas.sucré";"vrac";"magasin spécialisé";"t_haut_de_gamme";"F";"non actif";"sportif";40;"35-44";"3 à 6/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"ss effet santé"
"54";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet";"GMS";"t_haut_de_gamme";"F";"étudiant";"sportif";18;"15-24";"1 à 2/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"ss effet santé"
"55";"Pas.ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"vert";"lait";"sucré";"sachet";"GMS";"t_marque_connue";"F";"employé";"sportif";18;"15-24";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"56";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet+vrac";"GMS";"t_variable";"F";"cadre moyen";"sportif";56;"45-59";"3 à 6/sem";"évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"57";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"salon de t";"amis";"Pas.resto";"bar";"vert";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"autre actif";"Pas.sportif";34;"25-34";"1/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"58";"ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"H";"autre actif";"sportif";32;"25-34";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"59";"Pas.ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"salon de t";"amis";"Pas.resto";"Pas.bar";"vert";"citron";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"F";"cadre sup";"Pas.sportif";60;"60 et +";"3 à 6/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"60";"ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"resto";"bar";"noir";"pur";"Pas.sucré";"sachet+vrac";"GMS";"t_marque_connue";"F";"non actif";"sportif";66;"60 et +";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"61";"ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"salon de t";"amis";"resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"F";"cadre sup";"sportif";49;"45-59";"3 à 6/sem";"évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"62";"ptt dèj";"goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"vrac";"magasin spécialisé";"t_marque_connue";"F";"étudiant";"Pas.sportif";28;"25-34";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"63";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"non actif";"Pas.sportif";22;"15-24";"1/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"64";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"amis";"resto";"bar";"noir";"pur";"Pas.sucré";"sachet";"GMS+mag.spé.";"t_variable";"F";"cadre moyen";"Pas.sportif";35;"35-44";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"65";"Pas.ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet+vrac";"GMS";"t_variable";"F";"employé";"sportif";25;"25-34";"1 à 2/sem";"Pas.évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"66";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"après dîner";"Pas.tt moment";"maison";"Pas.travail";"salon de t";"amis";"resto";"Pas.bar";"noir";"autre";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_haut_de_gamme";"F";"non actif";"sportif";62;"60 et +";"1/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"67";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"salon de t";"amis";"resto";"bar";"parfumé";"pur";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"F";"non actif";"Pas.sportif";57;"45-59";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"68";"Pas.ptt dèj";"Pas.goûter";"soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"bar";"parfumé";"citron";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"F";"étudiant";"sportif";20;"15-24";"3 à 6/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"69";"ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"bar";"parfumé";"citron";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"étudiant";"sportif";22;"15-24";"1/jour";"évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"ss effet santé"
"70";"Pas.ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"bar";"parfumé";"pur";"sucré";"sachet";"GMS";"t_marque_connue";"F";"employé";"sportif";36;"35-44";"1/jour";"évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"71";"Pas.ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet";"GMS";"t_variable";"H";"étudiant";"Pas.sportif";19;"15-24";"1 à 2/sem";"Pas.évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"72";"ptt dèj";"goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_variable";"H";"employé";"sportif";24;"15-24";"+ de 2/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"73";"Pas.ptt dèj";"Pas.goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet";"GMS";"t_variable";"H";"étudiant";"sportif";22;"15-24";"1 à 2/sem";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"74";"Pas.ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"citron";"sucré";"vrac";"magasin spécialisé";"t_haut_de_gamme";"H";"cadre moyen";"sportif";28;"25-34";"1/jour";"Pas.évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"75";"ptt dèj";"goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"salon de t";"amis";"resto";"bar";"noir";"lait";"sucré";"sachet";"GMS";"t_MDD";"H";"étudiant";"sportif";18;"15-24";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"76";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet";"GMS";"t_marque_connue";"F";"cadre moyen";"sportif";34;"25-34";"1/jour";"évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"ss effet santé"
"77";"Pas.ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_marque_connue";"F";"employé";"sportif";51;"45-59";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"ss effet santé"
"78";"ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"Pas.sucré";"sachet+vrac";"GMS";"t_marque_connue";"F";"employé";"sportif";55;"45-59";"+ de 2/jour";"évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"79";"Pas.ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"Pas.maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet";"magasin spécialisé";"t_variable";"F";"non actif";"sportif";76;"60 et +";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"80";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"resto";"bar";"parfumé";"pur";"Pas.sucré";"sachet+vrac";"GMS";"t_marque_connue";"F";"étudiant";"sportif";22;"15-24";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"81";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"noir";"pur";"Pas.sucré";"sachet";"GMS";"t_haut_de_gamme";"F";"cadre moyen";"sportif";50;"45-59";"+ de 2/jour";"évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"82";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"Pas.maison";"Pas.travail";"salon de t";"Pas.amis";"resto";"Pas.bar";"parfumé";"pur";"sucré";"vrac";"GMS";"t_MDD";"F";"étudiant";"sportif";25;"25-34";"1 à 2/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"83";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet";"GMS+mag.spé.";"t_haut_de_gamme";"F";"autre actif";"sportif";44;"35-44";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"84";"Pas.ptt dèj";"goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"étudiant";"Pas.sportif";19;"15-24";"3 à 6/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"85";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"citron";"sucré";"sachet";"GMS";"t_MDD";"F";"étudiant";"sportif";20;"15-24";"3 à 6/sem";"évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"diurétique";"Pas.convivialité";"absorption fer";"féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"86";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"amis";"Pas.resto";"bar";"parfumé";"lait";"sucré";"sachet";"GMS";"t_inconnu";"F";"étudiant";"sportif";19;"15-24";"3 à 6/sem";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"87";"ptt dèj";"goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"salon de t";"amis";"Pas.resto";"bar";"parfumé";"pur";"sucré";"sachet+vrac";"GMS+mag.spé.";"t_haut_de_gamme";"F";"étudiant";"sportif";19;"15-24";"+ de 2/jour";"Pas.évasion-exotisme";"spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"88";"Pas.ptt dèj";"goûter";"soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet";"GMS";"t_MDD";"F";"étudiant";"Pas.sportif";17;"15-24";"1 à 2/sem";"évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"89";"ptt dèj";"Pas.goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"tt moment";"maison";"travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"Pas.sucré";"sachet";"GMS+mag.spé.";"t_variable";"H";"cadre sup";"sportif";51;"45-59";"1/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"90";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet+vrac";"GMS";"t_inconnu";"H";"cadre sup";"sportif";50;"45-59";"1 à 2/sem";"évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"91";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"noir";"lait";"sucré";"sachet+vrac";"GMS";"t_marque_connue";"H";"étudiant";"sportif";20;"15-24";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"relaxant";"Pas.ss effet santé"
"92";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"après dèj";"Pas.après dîner";"Pas.tt moment";"Pas.maison";"travail";"Pas.salon de t";"Pas.amis";"resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet+vrac";"GMS";"t_variable";"H";"cadre sup";"sportif";25;"25-34";"1 à 2/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"93";"ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"noir";"lait";"Pas.sucré";"sachet";"GMS";"t_haut_de_gamme";"H";"non actif";"Pas.sportif";78;"60 et +";"+ de 2/jour";"Pas.évasion-exotisme";"spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"94";"Pas.ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"Pas.maison";"Pas.travail";"salon de t";"amis";"resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"vrac";"GMS";"t_haut_de_gamme";"H";"cadre sup";"sportif";49;"45-59";"1 à 2/sem";"évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"95";"Pas.ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"vrac";"magasin spécialisé";"t_haut_de_gamme";"H";"autre actif";"Pas.sportif";42;"35-44";"1 à 2/sem";"Pas.évasion-exotisme";"spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"96";"ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"resto";"Pas.bar";"noir";"lait";"sucré";"sachet+vrac";"GMS";"t_variable";"H";"autre actif";"sportif";32;"25-34";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"97";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"sucré";"sachet";"GMS";"t_marque_connue";"H";"employé";"sportif";20;"15-24";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"98";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"H";"cadre moyen";"Pas.sportif";35;"35-44";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
